Exp. N o,Tool material [Type],Rotational speed [RPM],Welding speed [mm/min],Axial force [KN],UTS [MPa]
1,H13,900,25,2,251
2,H13,900,25,2,254
3,H13,900,25,2,257
4,H13,1200,35,3,264
5,H13,1200,35,3,260
6,H13,1200,35,3,268
7,H13,1500,45,4,284
8,H13,1500,45,4,284
9,H13,1500,45,4,281
10,H13,900,35,4,242
11,H13,900,35,4,244
12,H13,900,35,4,241
13,H13,1200,45,2,264
14,H13,1200,45,2,264
15,H13,1200,45,2,260
16,H13,1500,25,3,288
17,H13,1500,25,3,288
18,C40,1500,25,3,286
19,C40,900,45,3,238
20,C40,900,45,3,231
21,C40,900,45,3,236
22,C40,1200,25,4,271
23,C40,1200,25,4,268
24,C40,1200,25,4,273
25,C40,1500,35,2,281
26,C40,1500,35,2,278
27,C40,1500,35,2,280
28,C40,900,25,2,248
29,C40,900,25,2,248
30,C40,900,25,2,245
31,C40,1200,35,3,258
32,C40,1200,35,3,257
33,C40,1200,35,3,254
34,C40,1500,45,4,281
35,HSS,1500,45,4,286
36,HSS,1500,45,4,285
37,HSS,900,35,4,248
38,HSS,900,35,4,246
39,HSS,900,35,4,247
40,HSS,1200,45,2,266
41,HSS,1200,45,2,264
42,HSS,1200,45,2,269
43,HSS,1500,25,3,291
44,HSS,1500,25,3,292
45,HSS,1500,25,3,291
46,HSS,900,45,3,239
47,HSS,900,45,3,242
48,HSS,1200,25,4,276
49,HSS,1200,25,4,274
50,HSS,1500,35,2,286
51,HSS,1500,35,2,285
52,HSS,1500,35,2,285
